master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
006633b6-a6b9-11e9-a2fc-000d3a38a36f,61,19.0,2050.5,4,5,5,45,loyal_customers
00663454-520f-11ea-a243-000d3a38a36f,25,4.0,361.94,5,3,2,53,potential_loyalists
0067708e-1ec6-11ea-aa32-000d3a38a36f,7,5.0,397.3,5,4,2,54,champions
0067e5b2-5447-11ea-b1db-000d3a38a36f,10,3.0,282.36,5,2,1,52,potential_loyalists
006981e0-66eb-11ea-82da-000d3a38a36f,186,2.0,234.48,2,1,1,21,hibernating
006bb20e-a9a8-11e9-a2fc-000d3a38a36f,188,3.0,620.41,2,2,3,22,hibernating
00736820-a834-11e9-a2fc-000d3a38a36f,26,9.0,714.5300000000001,5,5,4,55,champions
00740768-d6d7-11e9-93bc-000d3a38a36f,17,4.0,294.45,5,3,1,53,potential_loyalists
00753baa-0090-11ea-a5e8-000d3a38a36f,26,4.0,516.67,5,3,3,53,potential_loyalists
007a2954-4b66-11eb-806e-000d3a38a36f,77,4.0,572.98,4,3,3,43,potential_loyalists
007bc81a-234b-11eb-99f8-000d3a38a36f,63,3.0,441.47,4,2,2,42,potential_loyalists
007cdfe4-1f54-11ea-87bf-000d3a38a36f,355,8.0,778.88,1,5,4,15,cant_loose
007e118c-5bf1-11ea-97fc-000d3a38a36f,186,3.0,340.90999999999997,2,2,2,22,hibernating
007e8be6-a871-11e9-a2fc-000d3a38a36f,165,5.0,550.59,2,4,3,24,at_Risk
008073a4-bbab-11ea-a0c9-000d3a38a36f,202,5.0,532.8199999999999,2,4,3,24,at_Risk
0082e79e-5b50-11ea-ba9b-000d3a38a36f,318,2.0,279.96999999999997,1,1,1,11,hibernating
00842ccc-15ea-11ea-aa74-000d3a38a36f,305,3.0,189.97,1,2,1,12,hibernating
00844650-a937-11e9-a2fc-000d3a38a36f,174,3.0,746.7,2,2,4,22,hibernating
0087ec3e-ad64-11e9-a2fc-000d3a38a36f,121,5.0,390.95,3,4,2,34,loyal_customers
00898b48-5b92-11ea-a592-000d3a38a36f,348,4.0,260.81,1,3,1,13,at_Risk
009293fe-1f3e-11ea-87bf-000d3a38a36f,129,6.0,725.1800000000001,3,4,4,34,loyal_customers
009e2910-1252-11ea-a001-000d3a38a36f,28,7.0,1109.6,5,4,5,54,champions
00a10df4-5f9d-11ea-8dd8-000d3a38a36f,134,13.0,906.34,3,5,4,35,loyal_customers
00a3f278-ddbe-11e9-9cd3-000d3a38a36f,280,3.0,431.96000000000004,1,2,2,12,hibernating
00a5009a-2558-11eb-a59b-000d3a38a36f,6,2.0,245.87,5,1,1,51,new_customers
00a7bc8e-b085-11e9-9757-000d3a38a36f,92,5.0,610.33,3,4,3,34,loyal_customers
00a9f3a6-5318-11ea-acd3-000d3a38a36f,172,2.0,229.95999999999998,2,1,1,21,hibernating
00b37b0c-b0a6-11e9-9757-000d3a38a36f,124,8.0,1042.77,3,5,5,35,loyal_customers
00b38808-541c-11ea-b1db-000d3a38a36f,344,3.0,456.22,1,2,3,12,hibernating
00b3ee24-aa44-11e9-a2fc-000d3a38a36f,24,8.0,2027.78,5,5,5,55,champions
00c2168c-a875-11e9-a2fc-000d3a38a36f,120,3.0,381.96,3,2,2,32,about_to_sleep
00c4e990-edfb-11e9-9346-000d3a38a36f,64,5.0,592.86,4,4,3,44,loyal_customers
00cf8494-9da2-11e9-9897-000d3a38a36f,5,53.0,6275.33,5,5,5,55,champions
00d2268e-5b36-11ea-8ca6-000d3a38a36f,140,2.0,255.56,3,1,1,31,about_to_sleep
00d37630-2b32-11ea-9d27-000d3a38a36f,38,6.0,2349.8199999999997,4,4,5,44,loyal_customers
00d46324-8f9b-11ea-8f41-000d3a38a36f,186,4.0,427.90000000000003,2,3,2,23,at_Risk
00dc8510-908d-11eb-bae6-000d3a38a36f,2,3.0,361.0,5,2,2,52,potential_loyalists
00dfa312-e5e4-11e9-ad00-000d3a38a36f,25,4.0,508.45,5,3,3,53,potential_loyalists
00e58b24-5b4b-11ea-ac70-000d3a38a36f,162,2.0,209.98,2,1,1,21,hibernating
00e65764-fe5a-11e9-a5e8-000d3a38a36f,164,4.0,357.45000000000005,2,3,2,23,at_Risk
00eb056a-38df-11ea-85d6-000d3a38a36f,163,2.0,429.89000000000004,2,1,2,21,hibernating
00ede098-9e6e-11e9-9897-000d3a38a36f,332,2.0,339.99,1,1,2,11,hibernating
00ef026e-5428-11ea-b1db-000d3a38a36f,37,2.0,474.7,4,1,3,41,promising
00ef42be-15e5-11ea-aa74-000d3a38a36f,51,2.0,172.98,4,1,1,41,promising
00f037ce-9fa6-11e9-a2fc-000d3a38a36f,58,18.0,1896.0300000000002,4,5,5,45,loyal_customers
00f1f9ce-bbb1-11ea-a0c9-000d3a38a36f,201,2.0,719.09,2,1,4,21,hibernating
00f53518-ab9e-11e9-a2fc-000d3a38a36f,88,4.0,349.94,3,3,2,33,need_attention
00f6c98e-abb5-11e9-a2fc-000d3a38a36f,163,12.0,2199.8,2,5,5,25,cant_loose
00f6ec78-5b07-11ea-a06d-000d3a38a36f,23,4.0,750.95,5,3,4,53,potential_loyalists
00f7553c-5bbb-11ea-b88d-000d3a38a36f,174,12.0,1754.27,2,5,5,25,cant_loose
00f9ba18-aab1-11e9-a2fc-000d3a38a36f,43,3.0,579.2,4,2,3,42,potential_loyalists
00fa3c44-748c-11eb-8577-000d3a38a36f,7,2.0,229.96,5,1,1,51,new_customers
00fb8870-d676-11e9-93bc-000d3a38a36f,27,2.0,186.48000000000002,5,1,1,51,new_customers
00fd8d32-9d73-11e9-9897-000d3a38a36f,73,3.0,775.6800000000001,4,2,4,42,potential_loyalists
01024718-52fa-11ea-9ade-000d3a38a36f,24,2.0,551.14,5,1,3,51,new_customers
01025b92-ae5c-11e9-a2fc-000d3a38a36f,46,4.0,826.91,4,3,4,43,potential_loyalists
01025f80-1193-11ea-846f-000d3a38a36f,27,2.0,192.49,5,1,1,51,new_customers
01047d5e-62c1-11ea-9861-000d3a38a36f,33,4.0,297.35,5,3,1,53,potential_loyalists
0104f00a-4cb8-11ea-a626-000d3a38a36f,12,5.0,508.86,5,4,3,54,champions
010a7a9c-94d0-11ea-85df-000d3a38a36f,314,2.0,485.31999999999994,1,1,3,11,hibernating
010be698-1942-11ea-b6a2-000d3a38a36f,67,5.0,573.8000000000001,4,4,3,44,loyal_customers
010ed02c-ac70-11e9-a2fc-000d3a38a36f,176,6.0,853.8699999999999,2,4,4,24,at_Risk
01111a3e-b144-11e9-9757-000d3a38a36f,317,2.0,558.71,1,1,3,11,hibernating
0117c094-63e8-11ea-a6dc-000d3a38a36f,249,2.0,339.49,1,1,2,11,hibernating
0118ddc6-9fb7-11e9-a2fc-000d3a38a36f,217,6.0,840.4300000000001,2,4,4,24,at_Risk
0119d05e-502a-11ea-99ba-000d3a38a36f,65,3.0,474.96000000000004,4,2,3,42,potential_loyalists
012820ba-7189-11eb-a3e2-000d3a38a36f,50,4.0,384.15999999999997,4,3,2,43,potential_loyalists
012fe082-b134-11e9-9757-000d3a38a36f,136,4.0,609.9399999999999,3,3,3,33,need_attention
01319a02-5bd5-11ea-a94f-000d3a38a36f,20,3.0,402.46000000000004,5,2,2,52,potential_loyalists
01395196-ae76-11e9-a2fc-000d3a38a36f,4,4.0,304.96,5,3,2,53,potential_loyalists
013a12e0-606c-11ea-8dd8-000d3a38a36f,13,2.0,304.97,5,1,2,51,new_customers
0145a826-a7f3-11e9-a2fc-000d3a38a36f,356,6.0,685.39,1,4,4,14,at_Risk
014b3e58-d6b5-11e9-93bc-000d3a38a36f,202,5.0,619.67,2,4,3,24,at_Risk
014dee3a-aae8-11e9-a2fc-000d3a38a36f,313,2.0,170.06,1,1,1,11,hibernating
014efd32-b193-11e9-89fa-000d3a38a36f,338,5.0,488.93,1,4,3,14,at_Risk
015015b4-a7c5-11e9-a2fc-000d3a38a36f,209,5.0,654.4300000000001,2,4,3,24,at_Risk
0151bbee-a7de-11e9-a2fc-000d3a38a36f,14,18.0,2649.02,5,5,5,55,champions
01541ece-ee0c-11e9-9346-000d3a38a36f,229,3.0,699.83,2,2,4,22,hibernating
01551f04-afcd-11e9-9757-000d3a38a36f,246,3.0,208.35000000000002,1,2,1,12,hibernating
0156dac8-bbb2-11ea-a0c9-000d3a38a36f,163,4.0,476.09,2,3,3,23,at_Risk
01588ec4-4680-11ea-b6c0-000d3a38a36f,187,3.0,145.98000000000002,2,2,1,22,hibernating
015ad42c-a4cd-11e9-a2fc-000d3a38a36f,123,5.0,674.88,3,4,4,34,loyal_customers
015dd374-708e-11ea-8021-000d3a38a36f,83,4.0,292.45,4,3,1,43,potential_loyalists
01613a82-28f4-11ea-b87a-000d3a38a36f,47,3.0,394.95,4,2,2,42,potential_loyalists
0161be1c-97df-11ea-9d91-000d3a38a36f,236,6.0,844.81,1,4,4,14,at_Risk
0162aa7a-3f10-11ea-b794-000d3a38a36f,366,2.0,380.96000000000004,1,1,2,11,hibernating
0164505a-a221-11e9-a2fc-000d3a38a36f,35,5.0,855.4300000000001,4,4,4,44,loyal_customers
016521aa-aa88-11e9-a2fc-000d3a38a36f,27,10.0,1691.28,5,5,5,55,champions
016cb6c8-a3e8-11e9-a2fc-000d3a38a36f,216,3.0,229.9,2,2,1,22,hibernating
016dc71a-a795-11e9-a2fc-000d3a38a36f,220,6.0,1323.85,2,4,5,24,at_Risk
016fe0aa-da25-11e9-93bc-000d3a38a36f,259,5.0,559.94,1,4,3,14,at_Risk
0171bf78-e5de-11e9-ad00-000d3a38a36f,4,3.0,744.8900000000001,5,2,4,52,potential_loyalists
0174d3ce-9f0d-11e9-9897-000d3a38a36f,239,3.0,640.71,1,2,3,12,hibernating
01755b62-a298-11e9-a2fc-000d3a38a36f,303,3.0,513.98,1,2,3,12,hibernating
0175d8d8-1cf7-11ea-a490-000d3a38a36f,332,2.0,349.97,1,1,2,11,hibernating
0179158a-aac8-11e9-a2fc-000d3a38a36f,8,2.0,110.86999999999999,5,1,1,51,new_customers
01794f62-b08d-11e9-9757-000d3a38a36f,139,2.0,549.98,3,1,3,31,about_to_sleep
017a26b0-1a61-11ea-941b-000d3a38a36f,205,5.0,1512.96,2,4,5,24,at_Risk
017bd900-a97e-11e9-a2fc-000d3a38a36f,250,8.0,699.9,1,5,4,15,cant_loose
017c09ec-9d90-11e9-9897-000d3a38a36f,14,4.0,1500.23,5,3,5,53,potential_loyalists
017d86e2-5599-11eb-9e65-000d3a38a36f,134,2.0,154.97,3,1,1,31,about_to_sleep
017e9a2c-1ae5-11ea-98d5-000d3a38a36f,184,4.0,429.97,2,3,2,23,at_Risk
017eb67c-12c2-11ea-a001-000d3a38a36f,5,2.0,625.86,5,1,3,51,new_customers
017ec6e8-4658-11ea-b6c0-000d3a38a36f,62,6.0,724.94,4,4,4,44,loyal_customers
01811462-9dce-11e9-9897-000d3a38a36f,110,5.0,562.77,3,4,3,34,loyal_customers
0185f454-2614-11ea-8e1c-000d3a38a36f,356,4.0,429.96000000000004,1,3,2,13,at_Risk
01861c98-ac31-11e9-a2fc-000d3a38a36f,91,13.0,1455.43,3,5,5,35,loyal_customers
01885392-309c-11ea-a6ce-000d3a38a36f,40,3.0,715.35,4,2,4,42,potential_loyalists
018a6c62-a132-11e9-a2fc-000d3a38a36f,117,5.0,679.6700000000001,3,4,4,34,loyal_customers
018acb80-aaec-11e9-a2fc-000d3a38a36f,13,4.0,622.9300000000001,5,3,3,53,potential_loyalists
018b9230-aae3-11e9-a2fc-000d3a38a36f,324,3.0,384.45,1,2,2,12,hibernating
018bc0ba-6ce5-11ea-b576-000d3a38a36f,158,3.0,299.46,2,2,1,22,hibernating
018e9704-a436-11e9-a2fc-000d3a38a36f,253,5.0,421.92999999999995,1,4,2,14,at_Risk
0192727e-2bd7-11ea-91ab-000d3a38a36f,23,6.0,949.94,5,4,4,54,champions
019280fa-a87b-11e9-a2fc-000d3a38a36f,309,3.0,210.49,1,2,1,12,hibernating
0192b6d2-43ae-11ea-8b43-000d3a38a36f,321,4.0,530.4499999999999,1,3,3,13,at_Risk
019443fe-ab05-11e9-a2fc-000d3a38a36f,88,4.0,317.45,3,3,2,33,need_attention
01949f34-8633-11ea-be76-000d3a38a36f,15,5.0,1339.78,5,4,5,54,champions
0196a484-b0d5-11e9-9757-000d3a38a36f,324,4.0,610.2,1,3,3,13,at_Risk
01976720-ae7d-11e9-a2fc-000d3a38a36f,263,3.0,269.51,1,2,1,12,hibernating
019cde54-1e25-11ea-8bf2-000d3a38a36f,129,3.0,169.97,3,2,1,32,about_to_sleep
01a14070-5bdd-11ea-9312-000d3a38a36f,231,2.0,139.97,2,1,1,21,hibernating
01abd05c-b1f7-11e9-89fa-000d3a38a36f,184,3.0,453.94000000000005,2,2,2,22,hibernating
01ad5e68-5bf7-11ea-a897-000d3a38a36f,68,2.0,287.99,4,1,1,41,promising
01b12072-ade0-11e9-a2fc-000d3a38a36f,54,3.0,1282.4,4,2,5,42,potential_loyalists
01b448ae-b125-11e9-9757-000d3a38a36f,13,4.0,614.5600000000001,5,3,3,53,potential_loyalists
01b4d5e8-9e89-11e9-9897-000d3a38a36f,148,7.0,1124.6399999999999,2,4,5,24,at_Risk
01c40d86-fe26-11e9-a5e8-000d3a38a36f,228,2.0,219.83999999999997,2,1,1,21,hibernating
01ca955c-a106-11e9-a2fc-000d3a38a36f,25,6.0,476.55,5,4,3,54,champions
01cd1dd8-105d-11ea-8ce6-000d3a38a36f,149,6.0,1297.86,2,4,5,24,at_Risk
01cd5b7e-ddd4-11e9-a848-000d3a38a36f,55,2.0,159.32,4,1,1,41,promising
01d402a6-bbc0-11ea-9a91-000d3a38a36f,334,2.0,450.48,1,1,2,11,hibernating
01d4c0ba-b3bf-11e9-a043-000d3a38a36f,357,2.0,340.48,1,1,2,11,hibernating
01d5156e-51f9-11ea-a243-000d3a38a36f,362,3.0,631.95,1,2,3,12,hibernating
01da52d2-563f-11ea-b9b9-000d3a38a36f,18,3.0,290.96999999999997,5,2,1,52,potential_loyalists
01defd1e-a582-11e9-a2fc-000d3a38a36f,244,8.0,1497.5,1,5,5,15,cant_loose
01e0c2fc-a5d7-11e9-a2fc-000d3a38a36f,209,6.0,671.18,2,4,4,24,at_Risk
01e208c8-a4d9-11e9-a2fc-000d3a38a36f,349,6.0,984.78,1,4,4,14,at_Risk
01e2833e-3ca0-11ea-b550-000d3a38a36f,30,3.0,280.96999999999997,5,2,1,52,potential_loyalists
01e4d576-a51f-11e9-a2fc-000d3a38a36f,35,5.0,1260.32,4,4,5,44,loyal_customers
01e9000a-a228-11e9-a2fc-000d3a38a36f,45,3.0,224.3,4,2,1,42,potential_loyalists
01eb536e-a854-11e9-a2fc-000d3a38a36f,119,12.0,1466.1899999999998,3,5,5,35,loyal_customers
01eb8378-ae96-11e9-a2fc-000d3a38a36f,138,6.0,500.65999999999997,3,4,3,34,loyal_customers
01ec6786-636b-11ea-a6dc-000d3a38a36f,53,6.0,988.3599999999999,4,4,4,44,loyal_customers
01ee4378-5bb7-11ea-84ff-000d3a38a36f,182,3.0,339.96999999999997,2,2,2,22,hibernating
01f3e57a-b3ba-11ea-8745-000d3a38a36f,202,3.0,370.95000000000005,2,2,2,22,hibernating
01f87448-ac75-11e9-a2fc-000d3a38a36f,281,3.0,550.67,1,2,3,12,hibernating
01fa53ea-fbd9-11e9-b138-000d3a38a36f,163,3.0,849.9200000000001,2,2,4,22,hibernating
01fe2034-98ea-11ea-b97a-000d3a38a36f,248,3.0,1368.97,1,2,5,12,hibernating
02055c84-acdf-11e9-a2fc-000d3a38a36f,204,2.0,341.97,2,1,2,21,hibernating
02061982-a940-11e9-a2fc-000d3a38a36f,270,7.0,1333.88,1,4,5,14,at_Risk
02098f82-9f8f-11e9-a2fc-000d3a38a36f,140,7.0,1626.31,3,4,5,34,loyal_customers
020ce394-4d86-11ea-9655-000d3a38a36f,327,4.0,859.95,1,3,4,13,at_Risk
020d943e-be28-11ea-aa61-000d3a38a36f,314,2.0,170.47,1,1,1,11,hibernating
020e2b84-5bbb-11eb-8dbd-000d3a38a36f,124,5.0,2215.31,3,4,5,34,loyal_customers
020fcf46-2a59-11ea-99b3-000d3a38a36f,259,4.0,424.85,1,3,2,13,at_Risk
020fdc82-a8d3-11e9-a2fc-000d3a38a36f,6,10.0,1735.0800000000002,5,5,5,55,champions
0211e640-2370-11ea-8523-000d3a38a36f,63,7.0,1222.99,4,4,5,44,loyal_customers
0215b782-d700-11e9-93bc-000d3a38a36f,22,3.0,172.45,5,2,1,52,potential_loyalists
0215be54-2939-11ea-b87a-000d3a38a36f,98,6.0,971.9200000000001,3,4,4,34,loyal_customers
021817b2-2d3a-11ea-827e-000d3a38a36f,51,4.0,809.96,4,3,4,43,potential_loyalists
021c9f20-2601-11ea-8e1c-000d3a38a36f,48,3.0,236.96,4,2,1,42,potential_loyalists
021d20d2-affd-11e9-9757-000d3a38a36f,25,3.0,235.97000000000003,5,2,1,52,potential_loyalists
021d4cae-da25-11e9-93bc-000d3a38a36f,171,3.0,329.96000000000004,2,2,2,22,hibernating
0225e986-2b15-11ea-9d27-000d3a38a36f,30,5.0,352.18,5,4,2,54,champions
02321df6-c574-11ea-9dde-000d3a38a36f,41,4.0,687.21,4,3,4,43,potential_loyalists
02355648-60f1-11ea-8dd8-000d3a38a36f,133,5.0,1357.01,3,4,5,34,loyal_customers
0235c69a-1c0f-11ea-ac4f-000d3a38a36f,255,5.0,684.9300000000001,1,4,4,14,at_Risk
0238a4c8-ab4e-11e9-a2fc-000d3a38a36f,236,3.0,439.97,1,2,2,12,hibernating
0238d3f4-a710-11e9-a2fc-000d3a38a36f,200,3.0,514.97,2,2,3,22,hibernating
02398b8c-a9f9-11e9-a2fc-000d3a38a36f,123,5.0,487.18,3,4,3,34,loyal_customers
023db43a-aa05-11e9-a2fc-000d3a38a36f,99,4.0,489.87,3,3,3,33,need_attention
0242b9e6-9d88-11e9-9897-000d3a38a36f,92,2.0,230.87,3,1,1,31,about_to_sleep
02438ab8-b171-11e9-89fa-000d3a38a36f,35,10.0,895.26,4,5,4,45,loyal_customers
02460ca6-1f36-11ea-87bf-000d3a38a36f,56,2.0,234.71,4,1,1,41,promising
02494b5a-5bc7-11ea-a7a9-000d3a38a36f,41,3.0,599.87,4,2,3,42,potential_loyalists
024b87da-9d4f-11e9-9897-000d3a38a36f,81,26.0,2045.01,4,5,5,45,loyal_customers
024da65a-5b36-11ea-b7e2-000d3a38a36f,15,11.0,2312.01,5,5,5,55,champions
0250d14a-a24f-11e9-a2fc-000d3a38a36f,42,5.0,686.9100000000001,4,4,4,44,loyal_customers
025316be-49af-11ea-8a4f-000d3a38a36f,115,5.0,1365.21,3,4,5,34,loyal_customers
02539196-2bde-11ea-91ab-000d3a38a36f,25,2.0,269.89,5,1,1,51,new_customers
0259aaae-5b0e-11ea-86e3-000d3a38a36f,260,2.0,425.38,1,1,2,11,hibernating
025b8bb6-ac28-11e9-a2fc-000d3a38a36f,6,11.0,820.88,5,5,4,55,champions
026751c6-5ba0-11ea-b8cf-000d3a38a36f,22,3.0,189.79,5,2,1,52,potential_loyalists
026f662a-c524-11ea-9dde-000d3a38a36f,234,2.0,614.06,1,1,3,11,hibernating
0271e98c-ab2f-11e9-a2fc-000d3a38a36f,109,11.0,1658.58,3,5,5,35,loyal_customers
0271f148-ae54-11e9-a2fc-000d3a38a36f,34,3.0,229.35999999999999,4,2,1,42,potential_loyalists
0271fde2-a7af-11e9-a2fc-000d3a38a36f,241,3.0,255.41,1,2,1,12,hibernating
02782278-d651-11e9-93bc-000d3a38a36f,274,5.0,259.9,1,4,1,14,at_Risk
027f69dc-4575-11ea-acaf-000d3a38a36f,304,5.0,935.74,1,4,4,14,at_Risk
027f8bec-be33-11ea-aa61-000d3a38a36f,79,2.0,252.95,4,1,1,41,promising
0282144a-21d2-11eb-99f8-000d3a38a36f,34,10.0,1170.6,4,5,5,45,loyal_customers
02823756-5bbf-11ea-9699-000d3a38a36f,36,3.0,564.46,4,2,3,42,potential_loyalists
0289a8f8-5b31-11ea-b819-000d3a38a36f,30,4.0,429.52,5,3,2,53,potential_loyalists
028ef70e-9db3-11e9-9897-000d3a38a36f,355,3.0,480.87,1,2,3,12,hibernating
02968374-ee0e-11e9-9346-000d3a38a36f,301,3.0,572.95,1,2,3,12,hibernating
0296e104-a5cc-11ea-bd63-000d3a38a36f,11,3.0,554.84,5,2,3,52,potential_loyalists
02a3810e-d7b6-11ea-aceb-000d3a38a36f,57,4.0,257.96,4,3,1,43,potential_loyalists
02a59d28-aa20-11e9-a2fc-000d3a38a36f,362,9.0,756.84,1,5,4,15,cant_loose
02a5bc6c-d663-11e9-93bc-000d3a38a36f,19,11.0,1578.7,5,5,5,55,champions
02aaed92-4b2d-11ea-a626-000d3a38a36f,273,3.0,1013.75,1,2,4,12,hibernating
02ac8d16-9e29-11e9-9897-000d3a38a36f,172,6.0,1074.81,2,4,5,24,at_Risk
02ae2d70-53e0-11ea-94d4-000d3a38a36f,6,2.0,274.46999999999997,5,1,1,51,new_customers
02af4fd8-7362-11ea-92d0-000d3a38a36f,199,3.0,460.44,2,2,3,22,hibernating
02afb6c6-aa95-11e9-a2fc-000d3a38a36f,123,3.0,314.96,3,2,2,32,about_to_sleep
02b20078-ab91-11e9-a2fc-000d3a38a36f,200,2.0,538.9,2,1,3,21,hibernating
02b56648-133b-11ea-a001-000d3a38a36f,46,6.0,800.02,4,4,4,44,loyal_customers
02b8e8cc-5b4d-11ea-8031-000d3a38a36f,340,4.0,773.39,1,3,4,13,at_Risk
02ba14ce-b0bf-11e9-9757-000d3a38a36f,83,2.0,509.87,4,1,3,41,promising
02bc6872-bebb-11ea-958c-000d3a38a36f,186,3.0,745.94,2,2,4,22,hibernating
02bc835c-d96f-11e9-93bc-000d3a38a36f,33,2.0,521.65,5,1,3,51,new_customers
02bf2f16-ad15-11e9-a2fc-000d3a38a36f,99,4.0,330.85,3,3,2,33,need_attention
02c1681e-d6e9-11e9-93bc-000d3a38a36f,93,2.0,258.48,3,1,1,31,about_to_sleep
02c4d744-3db2-11ea-9e19-000d3a38a36f,68,6.0,1082.61,4,4,5,44,loyal_customers
02c605a4-993f-11ea-b97a-000d3a38a36f,113,3.0,282.08000000000004,3,2,1,32,about_to_sleep
02c9dcc6-5437-11ea-b1db-000d3a38a36f,194,3.0,563.95,2,2,3,22,hibernating
02ce0744-1370-11eb-8ffc-000d3a38a36f,23,3.0,310.46,5,2,2,52,potential_loyalists
02d44576-a596-11e9-a2fc-000d3a38a36f,237,11.0,847.45,1,5,4,15,cant_loose
02d6802a-a37f-11e9-a2fc-000d3a38a36f,134,5.0,588.25,3,4,3,34,loyal_customers
02d68f14-46e6-11eb-806e-000d3a38a36f,6,3.0,430.90999999999997,5,2,2,52,potential_loyalists
02d797b2-5b53-11ea-9849-000d3a38a36f,91,3.0,635.37,3,2,3,32,about_to_sleep
02d7c642-2575-11ea-b1c8-000d3a38a36f,39,4.0,601.96,4,3,3,43,potential_loyalists
02d8ab7a-2c50-11ea-b752-000d3a38a36f,184,2.0,401.69,2,1,2,21,hibernating
02d9ce2c-1c76-11ea-a490-000d3a38a36f,91,5.0,816.9100000000001,3,4,4,34,loyal_customers
02dad82c-abaa-11e9-a2fc-000d3a38a36f,6,8.0,1348.33,5,5,5,55,champions
02ddf53a-d683-11e9-93bc-000d3a38a36f,136,3.0,492.46000000000004,3,2,3,32,about_to_sleep
02df20e8-da31-11e9-93bc-000d3a38a36f,114,2.0,391.97,3,1,2,31,about_to_sleep
02e16bfa-631b-11ea-a6dc-000d3a38a36f,176,3.0,444.98,2,2,2,22,hibernating
02e28698-b1dc-11e9-89fa-000d3a38a36f,55,7.0,689.9300000000001,4,4,4,44,loyal_customers
02e3c7d4-ac63-11e9-a2fc-000d3a38a36f,14,6.0,834.55,5,4,4,54,champions
02ed79a6-19d5-11eb-8d74-000d3a38a36f,74,5.0,931.4300000000001,4,4,4,44,loyal_customers
02edc210-fb42-11e9-b138-000d3a38a36f,94,5.0,920.44,3,4,4,34,loyal_customers
02f2627a-ac05-11e9-a2fc-000d3a38a36f,175,3.0,298.46999999999997,2,2,1,22,hibernating
02f5617e-ab28-11e9-a2fc-000d3a38a36f,190,6.0,569.93,2,4,3,24,at_Risk
02f5905a-d700-11e9-93bc-000d3a38a36f,184,4.0,681.79,2,3,4,23,at_Risk
02f66fc4-52f8-11ea-9ade-000d3a38a36f,144,3.0,339.97,3,2,2,32,about_to_sleep
0300717c-279c-11ea-aaaa-000d3a38a36f,110,2.0,686.35,3,1,4,31,about_to_sleep
